Row Labels,Sum of tripduration,Average of tripduration2,Min of tripduration2,Max of tripduration2
DPD-03,546633.75,3333.132622,83.795,28605.309
UW-02,602297.39,3220.841658,129.132,24125.661
UD-01,1296559.541,2980.596646,66.061,24806.801
UW-10,452360.673,2708.746545,239.174,26107.748
UD-02,657368.541,2618.998171,72.235,24419.568
UD-04,990191.331,2276.30191,71.631,26773.325
UW-04,585826.472,2194.106637,73.704,25955.443
WF-04,1643541.303,2165.403561,63.381,28149.155
WF-01,3680602.752,2068.916668,61.937,25300.791
SLU-17,1494547.148,1961.347963,73.701,26623.043
UD-07,535960.587,1927.915781,116.105,27396.588
UW-01,74583.377,1819.106756,169.427,8970.147
EL-05,856270.84,1776.495519,67.489,28794.398
ID-04,490814.26,1680.870753,70.858,27854.538
SLU-21,127123.302,1629.785923,91.227,8045.131
UW-07,320410.661,1610.103824,82.888,23150.087
CBD-03,798494.674,1512.300519,90.932,18454.189
UW-06,305229.705,1474.539638,166.12,27129.523
CBD-05,858777.094,1467.995032,142.207,27588.145
EL-01,674733.034,1457.306769,66.273,13236.082
SLU-18,700535.966,1403.879691,60.486,27758.749
BT-01,2238487.891,1349.299512,61.741,23225.023
CBD-04,842360.499,1312.088005,97.348,21276.403
PS-04,889313.82,1302.070015,63.008,26732.602
SLU-19,1324467.699,1273.526634,142.601,16852.822
BT-05,969111.659,1215.949384,73.917,25091.48
PS-05,606703.452,1189.614612,61.257,23371.534
CBD-06,796382.213,1181.575984,60.452,26405.35
EL-03,680509.038,1157.328296,69.377,12404.198
CBD-13,1296213.163,1106.928406,61.135,26474.268
BT-03,1091802.504,1102.830812,62.791,24055.95
FH-04,550343.888,1085.490903,138.56,27852.582
SLU-02,846397.322,1074.108277,61.993,15689.022
SLU-15,1143036.773,1056.411066,78.524,26024.244
DPD-01,652018.263,1031.674467,67.376,25262.379
CBD-07,421496.106,1008.36389,99.118,20696.799
CH-05,827413.623,948.8688337,60.438,25001.486
CD-01,208224.773,946.4762409,189.868,21590.655
CH-09,614692.061,896.0525671,60.645,18082.649
FH-01,357281.735,873.5494743,280.448,8312.674
SLU-04,587615.468,845.489882,85.848,17568.79
SLU-16,565391.966,825.3897314,89.451,16411.943
SLU-01,758283.228,817.9970097,64.99,14736.462
CH-12,630592.756,764.3548558,86.211,13032.331
CH-02,803054.836,747.723311,88.475,23970.149
CH-07,948721.665,739.4557015,82.944,23132.197
CH-03,537154.847,721.9823212,61.314,18220.371
CH-15,591526.787,717.0021661,76.181,12871.344
CH-08,894414.3,705.3740536,64.289,26381.359
SLU-07,559688.396,696.9967572,60.994,23827.006
SLU-20,425707.207,680.0434617,70.998,7776.071
CH-01,475526.978,666.0041709,72.831,24581.622
BT-04,354162.801,632.4335732,89.296,6992.472
CH-06,235840.484,560.1911734,87.395,11379.639
Grand Total,42416800.6,1223.232224,60.438,28794.398
